Attack,Defense,nm_5,nm_10,nm_15,nm_20,nm_25,nm_30
GA,MANDERA,71.07,70.87,70.97,71.02,71.07,71.07
GA,Krum,68.03,67.88,69.03,67.58,67.73,59.95
GA,Bulyan,71.02,70.97,70.87,70.82,71.07,70.62
GA,Median,70.37,70.37,70.37,70.22,70.32,70.67
GA,Trim-mean,70.62,71.07,70.62,71.02,70.32,70.62
GA,FLTrust,62.89,54.66,64.94,15.76,4.49,61.35
ZG,MANDERA,71.02,71.02,70.97,71.22,70.92,70.77
ZG,Krum,67.83,66.48,68.73,69.23,67.43,68.93
ZG,Bulyan,70.37,70.72,70.72,70.42,70.62,70.27
ZG,Median,69.88,69.38,67.68,67.08,66.88,66.88
ZG,Trim-mean,70.07,69.23,67.53,66.88,66.88,66.88
ZG,FLTrust,68.78,66.88,66.88,69.03,66.88,66.88
SF,MANDERA,70.42,71.07,71.12,70.97,70.62,71.12
SF,Krum,69.18,68.48,68.38,68.73,69.28,58.05
SF,Bulyan,71.17,71.02,70.72,70.67,70.67,70.27
SF,Median,69.93,69.13,68.18,66.93,66.88,66.88
SF,Trim-mean,70.12,70.17,68.83,67.03,66.88,66.88
SF,FLTrust,70.67,66.88,70.67,66.88,67.13,66.88
MS,MANDERA,71.12,71.12,70.62,70.87,70.97,70.87
MS,Krum,70.87,70.52,70.12,70.07,69.08,66.88
MS,Bulyan,71.27,70.82,70.67,70.77,69.98,69.23
MS,Median,70.47,70.47,70.07,69.78,69.48,68.38
MS,Trim-mean,70.77,70.87,70.77,70.42,69.53,69.38
MS,FLTrust,70.72,70.82,70.87,70.92,70.77,70.52
